Power,Mode,BatteryVoltage,CurrX,CurrY,TargetX,TargetY,RPM_M1,DriveM1,TargetM1,RPM_M2,DriveM2,TargetM2,TargetDeg,TargetDis,CurrDeg,CurrDis
ON,1,12.4,0.0,0.0,1.0,0.0,38.5,29,30.0,-37.4,-29,-30.0,0.0,1.0,87.6,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.2,31,30.0,-29.8,-29,-30.0,0.0,1.0,90.4,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,25.5,41,30.0,-24.4,-39,-30.0,0.0,1.0,89.9,0.0
ON,1,10.6,0.0,0.0,1.0,0.0,33.0,35,30.0,-30.9,-37,-30.0,0.0,1.0,89.1,0.0
ON,1,10.0,0.0,0.0,1.0,0.0,31.5,33,30.0,-32.6,-31,-30.0,0.0,1.0,90.6,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,28.7,37,30.0,-28.2,-33,-30.0,0.0,1.0,91.2,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.9,37,30.0,-27.7,-37,-30.0,0.0,1.0,92.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,32.0,35,30.0,-30.9,-35,-30.0,0.0,1.0,85.9,0.0
ON,1,9.6,0.0,0.0,1.0,0.0,30.9,35,30.0,-30.9,-33,-30.0,0.0,1.0,89.2,0.0
ON,1,9.8,0.0,0.0,1.0,0.0,30.4,35,30.0,-28.7,-35,-30.0,0.0,1.0,90.5,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-29.8,-35,-30.0,0.0,1.0,90.2,0.0
ON,1,10.2,0.0,0.0,1.0,0.0,31.4,35,30.0,-30.4,-33,-30.0,0.0,1.0,88.2,0.0
ON,1,10.3,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-33,-30.0,0.0,1.0,94.6,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,30.3,35,30.0,-28.7,-35,-30.0,0.0,1.0,94.1,0.0
ON,1,9.6,0.0,0.0,1.0,0.0,30.4,35,30.0,-29.3,-35,-30.0,0.0,1.0,92.1,0.0
ON,1,9.8,0.0,0.0,1.0,0.0,30.4,35,30.0,-30.4,-33,-30.0,0.0,1.0,96.3,0.0
ON,1,12.4,0.0,0.0,1.0,0.0,29.8,37,30.0,-29.3,-33,-30.0,0.0,1.0,97.4,0.0
